Text,Label
"This is a great course. I have finished all the unites, quizes and the 3 home works. When will the essay assignments be available? Also when is the final exam??",1
"Hello everyone!I am thrilled to be taking this course, as global gender issues are my passion and the area in which I plan to build a career. I am an American currently serving as a Peace Corps Volunteer in a rural area of southern Morocco. I primarily work at a youth center, teaching English and leading other enrichment activities, but I have also spent a large amount of my time working specifically with women and girls in my community on various projects they've identified as important.After studying Women and Gender Studies in the midwestern US, coming to Morocco has added an entirely new lens to my perspective about global women's rights, particularly as it relates to culture and tradition. Cultural beliefs are often an important factor in the persistence of problematic gender roles and the denial of basic human rights to women. This can pose an interesting problem when met with proponents of cultural relativism, who might say that preserving the supposed \purity\"" of a culture or its traditions is the most important thing, even if that means denying access of human rights to women or other groups. Much has been written on this subject by scholars and activists alike, but the point that resonates the most with me, particularly in light of what I've learned during my time in Morocco, is that cultures are not static - they are dynamic, always changing. Many cultural relativists are advocating protecting a very singular, unchanging view of a given culture, when in reality cultures are continually changing and adapting over the course of time. Furthermore, there are often multiple different traditions and interpretations of those traditions within any given culture. Within Morocco, for example, there are Arab communities, Amazigh (Berber) communities, Saharawi communities, and others, all with differing views and traditions, including those about gender and the family. Those who make arguments against changes to the Moroccan family code on the basis of \""preserving culture\"" are making the mistake of generalizing a very diverse culture into a monolithic, unchanging entity, which is false and only serves to further marginalize those from minority communities.I am very excited to continue this dialogue with other members of the course as we continue to learn about the complexities of global women's heath and human rights.""",0
"When I made mathematical mistakes I was embarrassed and felt stupid. I felt that everyone else in the class got it right except me. However, I know now that was not he case. Only the students that knew they had it right raised their hand. I rarely raised my hand in math class. If my students make a mistake, I use that opportunity to show the class how it is a common mistake and how to correct it. The students need to feel comfortable to make mistakes. They need to know it is okay. It was not okay at my elementary school.",0
"Hello everyone. First of Im thrilled to know that this course is available worldwide. My name is <nameRedac_<anon_screen_name_redacted>> Rico, a student who wants to Major in Social work. Human justice is my passion. I love learning. Super excited to be in this online course. As a women i feel that womens health care is overlooked and at times ignored. Living in a male dominated society women are still not fully in charged of their health/reproductive rights. One of the main reasons i believe this is because not enough women are actively engaged due to the lack of public awareness/knowledge.",0
Thank you very much for sharing these resources. I visited them and they are definitely very useful.Best wishes!,0
"I agree with Jacky's description. It's not just about the numbers and the relationships between and among them, nor just about the operations acted on them, but it's about the experience of working with them with other students.",0
"I agree with the comments on this post that the original sentence was little tricky to extract the crux of the sentence. I had to edit and re-edit this one many times before settling on what I think was brief and clear. My edit is as given below -\Thus, the providers, managers of health care and researchers should have high priority to identify and evaluate the cost-effective approaches to manage common chronic diseases.\""I have 2 comments -1. Looking at the model response provided for this, I am not sure if I found it to be in active voice. The subject component (i.e., providers, managers of health care and researchers) present in the original sentence was completely eliminated from the response. So, the \""who should give it a high priority\"" is missing in the response.2. Phrase \""improving the cost-effectiveness\"" : I think this can be reduced to just say \""cost-effective\"" and improvement is inherent within the term. Am I correct!I would like to get comments from others on this one.Thanks.""",0
Hello Everyone: I currently live in Wisconsin. My name is <nameRedac_<anon_screen_name_redacted>> and I am taking this course so that it will help me to prepare for the Human Physiology course I will be taking in medical school in the fall. Nice to meet you all. :D,0
I second your thought!! I hope the course moderators are hearing us. There was a huge chunk of the class that was aggrieved due to the time issues and the confusion with respect to the first few homeworks. I would hope that they take this into consideration!,0
"I sympathize with you and your daughter. Certainly, in the higher grades, some kids are so thoroughly turned off by school that that it is difficult to imagine them engaging with much enthusiasm in the open ended problems presented in the videos. It is so sad and such a waste of potential. Anything less than a radical restructuring of school seems likely to succeed.",0
"I also liked that they had been taught about learning from mistakes, and that everyone makes them. I also liked their use of the word, \decompose\"":)""",0
"In the module for residual confounding,the Hazards ratio decreases after adjusting for confounding(Red meat eating).Dr.<redacted> explains that You might get relative risks all the way down to 0.6.Or maybe all the way up to 1.6, just purely by residual confounding.But it's hard to get much bigger than that, if you know that you've adjusted for confounding.You should not be worriedabout getting the relative risk of like two or three just due to residual confounding.",0
True but we are trained to be doctors and not just health workers in Uganda so we should know and appreciate the ideal!!!!,0
"I don't personally recall any negative messages regarding math in school, but I had parents that encouraged me to always try my best. Math was sort of neutral for me. I did struggle with it in high school as I made my way through college prep coursework. My love for math only developed later in life when I began to see applications in science and real-world connections to what I had learned and was doing in my future career field as a biologist.As a math and science teacher I have always tried to integrate application of math into my teaching. Students respond to this more readily although still most with little more enthusiasm than before. They constantly question the usefulness of what they are learning, or determine that they \won't need this\"" in their future. STEM career fields need to be encouraged more than careers where fame and fortune abound. If there was more prestige for mathematical careers I think we would see more students making more efforts. I think for many students math just doesn't seem that important to them.""",0
"Okay, strange thing, but I now see the submit button, do you as well? I submitted for ch.9.",1
"On one side of the coin I am a parent and want my daughter to get the best education possible. I know that the \best\"" students get the best opportunities. That means the onus is on me to make sure my daughter gets to the higher reading group in Kindergarten, the GT classes beginning in second grad, and avoids summer loss.On the other side, I realize many students won't get the best opportunities but could certainly benefit from them. How do I as a parent advocate for all students while doing my best within the current system to ensure the best education for my own daughter?""",0
"Hi - I have two questions about Table 3 that is used for questions 11-14:(1) Are the column in this table represent the result after adjusting for the confounder in the previous column and the additional confounders listed (e.g., in column two the results are adjusted for age at midlife exam, education, age at diagnosis, race, marital status, and sex. Then column three are adjusted for all the confounders in column two plus midlife and late life comorbidity)? (2)Is it correct to say that it seems like the association between obesity and dementia in men appears to be due to residual confounders since it pretty much stay in that pattern after adjusting for a bunch of confounders similar to the red meat example. Thanks.",1
"Dear Kristin and all participants,I noticed that in the last two examples words \the depletion\"" and \""pre-treatment\"" were changed (Oh, once more passive voice..) to \""Depleting\"" and \""Pre-treating\"" for the beginning of new sentences. Should we always change the \""subject\"" to -ing form when we are changing passive to active? Are the variants \""The depletion of Ca++ from the endoplasmic reticulum activates Ca++ channels\"" and \""Pre-treatment of mice with antibiotics increased the number of ...\"" correct to use?I am not sure about this, may be I do not know some rules in English...Please lighten up on this question!Thanks!""",1
"If it says 2, it's 100% rise rather than 200%",0
"So, how do you 'follow' a post? I don't see any green triangle. Is the follow option only for a discussion (not a post)?Also, <redacted> FB group is the second one i've seen. There is also one called \<redacted><redacted> How to Learn Math\""I don't think I like these discussion boards ... way too time consuming.""",0
"I am trying to complete my final chunk of peer assessment (question 6.6) and, in the 'learning to grade' section I can give 0 or 1 as usual but am unable to type anything in the written feedback box for some reason. Please help!!<nameRedac_<anon_screen_name_redacted>>",0
"Grouping needs to be fluid and flexible, no matter what is being taught. Students who are learning to read may be excellent decoders but struggle with comprehension and need to work below their decoding level to build up skills lacking in the later. Learning math skills is really no different. Ability grouping needs to be F&F!",0
"I was just thinking what would happen if you were to calculate the number of combinations drawing all 52 cards from a 52 card deck and came upon this:n=52r=52so Total number of 52 card hands =52! / [(52-52)!52!]=52! / [0!52!]=52! / 1*52!=52!/52!=1wouldn't it be the case that anytime n and r are the same positive integer, the result would be 1? This came up when I was over-thinking the pizza problem with 5 combinations of 5 pizzas.",1
"Why differentiate only over beta? Surely the residual sum of squares depends also on alpha, so shouldn't we minimize over 2 variables instead of 1?",1
"In my experience growing up, the stereotypes of males and Asian Americans being 'good at math' were pervasive. It's as though there was this collective, tacit understanding and acceptance of these 'facts.' And I'd consider my upbringing to be relatively progressive.And conversely, to gain acceptance, I've seen girls who were gifted academically pull back in either middle school or high school. It was deemed 'uncool' to be good at (especially, not not solely) math, in part because it felt so irrelevant and in part, because it was so male dominated. I remember feeling pulled in that direction also.",0
"Imagine we are all babies, we have all just been born. Every baby cries, eats, poops, smiles, coos and keeps on trying. Babies have to try new things to make progress, they have to stand before they can walk, they have to fall down a few hundred times before they can begin walking. We don't get mad at babies when they fall down, we don't think they are dumb when they try something new, we think they are amazing and smart. So again, imagine we are all babies in this classroom, we welcome mistakes, we welcome persistence, we welcome trying new things.",0
"This dot talk and the previous math talks are wonderful. I had thought of several ways to solve each but was truly amazed by the many other ways students solved the problems. The math talks allow students to see that math is not rote. It has variety and so many ways to explore. It also allows teachers to see what kind of learners or thinkers are in the class. It also allows the teacher to highlight a variety of students by asking students to try \Jane or Kevin's method this time.\"" But I think the most important aspect is that is opens up students minds to more possibilities.The dot talk reminds me of a book series I have used by Greg Tang-Grapes of Math and others.""",0
"First and foremost, as I was reading the article I have to say that I do not agree with, \Disparities in wealth are less visible in Americans’ everyday lives today than they were a century ago. Even poor people have televisions, air conditioners and cars.\"" It is true that even people of lesser income may have cars this day in age, but the hyper rich have \""super cars\"" or Lamborghinis, Ferraris, Maseratis, etc. that are quite \""visible\"" and show off an immense amount of wealth. This day in age, people have Rolexes that are worth more than what an average American makes in a whole year. I think the point trying to be made here was that the average quality of life has increased in the United States and I would agree with that point, but I think the author definitely went the wrong way about describing this. The article uses the Gini coefficient in his or her analysis and speculates that rich and developed countries have a lower coefficient than those of developing countries where there is large scale disparity. The author uses the coefficient to argue that although the coefficient has increased in some countries, on a larger scale it has decreased. The article cites the Kuznets curve which says that inequality rises in the early stages of industrialization as people leave the land and become more productive and earn more in factories, and then as more people make the jump industrialization starts to become completed and better educated citizens demand for the wealth to be redistributed. I agree with the points the author is making because they all seem sensible and intuitive. The article goes on to argue that although discrepancy in education is a consideration for the gap in income, the failure of government policy has also been a big factor such as in developing countries the large income gap is actually counter productive to growth as an entire country. I agree that education should be prioritized and the government should take steps to prevent social immobility. I think they follow the economic explanation provided throughout the entire article and in order to advance even further as a country, gaps in income need to be shrunk.""",0
