Text,Prediction,Label
"I liked the way she gave them really clear instructions about the blob, the hole, and the need for a not-straight path....I think that might have been a good warm up to the question, in terms of it sort of clearing the mind but opening up curiousity, especially when everyone's diagram must have looked radically different.",0,0
A lack of food can/will make you hypoglacemic. Without a good store of carbs your body can't burn fat which will in turn lower your metabolic ability. They're all factors in the end.,1,1
"Dear Josh,Good evening. I had some problems trying to understand p-value definition, specially with the examples given in the slides. I really appreciate if you give me other example to see how it works!Thanks,<nameRedac_<anon_screen_name_redacted>>",1,1
"Thanks alot for your explanation , but according the quiz, it was mentioned that in case of left skewed data ( meaning the bulk is right sided) which of the following answer would be true, basically what i understand that left shwed data meaning that the bulk is right! If so this probably mean that the median will move little bit toward the left( due to the action of the tail) while the mean will not be to it right, which mean mean are more postive, hence median should be lesser than the mean then.This is my poor understanding. but i thank you again for your concern. <redacted><redacted>",0,1
Well can you look at it with the eyes of a reviewer and make improvements to it yourself?,0,0
"Thank you for the course. I'm taking it because it's interesting, and maybe I'll find ways to use it later. Last year, I downloaded and started reading ESL, but while I could conceptually understand the presentation, I could not do the exercises. Most of the math was too advanced for me as I've tried to learn math on my own as a hobby. With lectures and a forum and the new ISL, I hope it will be enough for me keep up with this class, and I look forward to the challenge.",1,0
"To me to read about human Rights is alarming me to be more patient, tolerant, stronger to fight against the present conditions facing in my country.",0,0
I agree too..its unfortunate.,0,0
"-From other adults who have had traumatic math experiences (teachers, parents, relatives, etc)-Siblings-Friends",0,0
"Cathy set the task then allowed the students to respond. She gave them time- one minute?- to begin their exploration. Two different answers came up. On bringing the class together she asked for an explanation of the two answers. The reasons given were attempts to uncover a rule. At this stage, she stopped them told them that before the end of the class they would have a rule and altered the task to can you make sense of the question/solution. The atmosphere in the class accepted this, there were no visual signs of frustration. Cathy used the language of \yes, but does it make sense?\"" throughout the discussion, never hinting at 'the correctness' of each of the three methods shared. She expected the class to criticise the speaker introducing the roles, asking each to be friendly or sceptical. The 10 minutes were spent reinforcing the mathematical methods of representing problems in different ways, supporting your answers with reasons, analysing other ideas,checking methods through inverse operations; the learning process of re-explaining another point of view and the social learning of collaboration. Only after these processes had been explored was a traditional method introduced.""",1,0
"I agree, that our society has a genetic view of math ability. You're born with it or you aren't. Other cultures seem to have more of an effort or persistence view. \If you work hard you can get it.\"" We have this view of general intelligence, too. I found that 7th grade was where many students who had been TAG finally hit the wall. What it meant to be good at math was no longer just memorize stuff. I used to have tearful conferences with TAG students and their parents, telling them that everyone hits the wall somewhere, and this is as good a time as any to re-set what they think being smart means. Being smart means that you can handle some frustration, can persevere, can get clear about where you are stuck, and are willing to ask question and listen to others.""",0,0
"Everything ive been reading has the same idea, in ability grouping the fixed mindset for a lower groups is very hard, they start their course already thinking that they are in the lower group and that they will not be receiving alot of work, and taht is what really happens, theachers do not expect to much form this group so they do not encourage them to try harder.",0,0
Has anyone done a Rim to Rim or Rim to Rim to Rim crossing? Care to share some insights?I did a (south) rim to Indian Gardens back to the south rim last year. It was much tougher than I thought. I made a lot of mistakes (mainly starting too late in the day) but I learned a lot. The beauty of the Grand Canyon cannot be overstated. I'm planning a R2R2R attempt this spring. (I desperately want to earn the R2R2R sticker for my car!) I'd love some insight from others who have done a crossing either as a hike or a run.,1,0
This does seem to be a fun visual way to explore (yum!) dividing by fractions. I bet some of the kids \look back\" on this to help them process what they do later.",1,0
"Agree that the answer was correct (I got it right on the first try :-). My suggestion was that the explanation was unclear. Not a big deal, just trying to improve the materials.",0,0
I think it is something we all need to pay attention too - as it can happen inadvertently ... which could be the reason in this case.,0,0
"I suppose the reason for that are comparative advantages of workers. The first to leave producing computers (in Mr. Professor's example) are those, who are more efficient at producing movies. So when they move, there is a significant increase in movies production, yet only a little loss in computer industry. The next workers who would leave are those with a little comparative advantage, and so on. So the last to choose working on movies instead of computers are those, who are more effective at producing computers. Their labour gives the smallest increase in movie production compared to the forgone production of computers.I believe this is the mainspring.",0,0
Use a process of elimination.,0,0
"in the homework if we calculate something to say, 1.9288 in question one, which gets rounded to x.x = 1.9, if the next question requires that number be used in further calculations, do we use 1.9 or do we use the more precise 1.9288 in the calculations? I am finding that it makes a difference in the future answers, for example one way something may come up as for example 17.6 vs 17.7 depending on which number was used (1.9 or 1.9288). (btw these numbers are for example only.) also thanks very much for this free course!",0,1
I am learning......learning.....learning.I'm from 'old school' and until NOW still had full faith in cotton to pretect myself and my family from heat and cold!!!!!!!!,0,0
Can't access it sorry.,1,1
"Everyone who have not Chemistry/Biology/Medicine background do have the same problems. Being physicist involved in Materials Science I experience some difficulties, but we entered course Medicine (First) Writing (second) - so we have to learn about Medicine too.Anyhow I enjoy the course. Now, when writing the reports in my native language, I try to follow Prof. <redacted> <redacted> Lectures 9 Tips&Hints)",1,0
"First of all, Thank you so much to Trevor, Rob and the staffs to making this excellent online course. Well prepared materials and excellent video lectures. It was a wonderful learning experience. I am interested to have further research and study on Statistical Learning area. Can you suggest any good postgraduate courses or research programs that fit well for students finish this course?Regards",0,1
"Hi, I am <nameRedac_<anon_screen_name_redacted>> <nameRedac_<anon_screen_name_redacted>> from Pune, India. I am a third year Law student at Symbiosis Law School and presently interning with a non-profit named 'Janwani' where I am working on a handbook on 'Women Safety in Pune' in collaboration with Women's Cell of Pune Police and on an independent paper on 'Current status of women component of the twelfth five year plan of Government of India'. I am very excited to be a part of this course and meet & learn from you all. Thank you!",0,0
"I assume that the \word limit\"" of 500 still applies, since Writing Assignment (WA) 3 is a rewrite of Essays 1 or 2.You need to complete Module 8, which is next week's module, before WA 3 becomes available to you. Module 8 is available now for those who would like to complete it early.The due date for WA 3 is November 16, one week from today. Given that the rewrites need to be peer reviewed by three other course participants, early submission allows more time to take advantage of the peer review comments. Also, we (course students) need to complete four additional peer reviews if we choose to submit a revision of Essay 1 or 2 for WA 3. We won't see our scores or comments on WA 3 until we complete those four peer reviews.""",1,0
I'm from Hong Kong. It's great to see the global mix here,0,0
"I had the same issue. If you have the data filled in completely, try entering the box where you edit the essay and hit CTRL-ENTER. This submitted mine when the SUBMIT button was ghosted out.",1,0
Could you add this feature \Show Discussion\" for each Homework or create a group for each homework.",0,1
Submit button on essay 2 (\Learning how to grade\") is STILL not working...",1,1
"If a=x, b=x+2 and c=x(4) and the sum is 14. Ifx=1b=1+2=3c= 1(4)=4equation would be 1+3+4= 8Ifx=2b=2+2=4c=2(4)=8equation would be 2+4+8=14I think that's right but not sure.",0,0
"Hi Kristin,i went over the quiz. would you please clarify Quiz 2.4D.I am unclear on how that answer is correct. Please clarify.Thanks!",1,1
"From my understanding, using a test set is the gold standard for estimating out-of-sample performance of predictive models. On p. 36 of the slides, OOB error estimation is introduced as \a very straightforward way to estimate the test error of a bagged model\"", and that it is \""essentially the LOO cross-validation error for bagging\"".What I don't understand is why the curve for OOB: Bagging on p. 34 of the slides is so much lower than the Test: Bagging curve on the same slide (suggesting optimistic bias in the OOB estimate). The only explanation I can think of is a substantial difference between the training set (from which the OOB estimate is derived) and the test set. Or is there another explanation that I'm not aware of?""",1,1
That's definitely correct page. Actually the value of 50% makes your equation very easy to solve;),0,0
I like the way you put this- I think it would really make a student/people think and not shy away from a challenge.,0,0
"Thanks,I hope this course will help me to learn to do statistical data analysis which i can use for my research program.",1,0
"For the question in the next section regarding the firm's profits if the govt sets a maximum wage, I wanted to know how does one calculate the profits from the labor supply and demand model?",0,1
"Why are the technicians not responding? It is daytime now in California, isn't it?",1,1
"Girls and students of color have to overcome the stereotypes which they have been exposed to over and over; they are not as good at math at others. When interventions which are put into place which focus on the successes of what they have done and learned they are getting the reinforcement they need to overcome the negativity. When they are exposed to the fixed mindset which is focused on how smart they may be in mathematics, any negative feedback sets them further back and tends to affirm the stereotypes which they have been exposed to.High achieving girls are putting a great deal of pressure on themselves to please others. It is a common belief that girls are pleasers. They do what they can to please others. One of the reasons girls tend to give over-the-top projects to teachers. They go above and beyond to please the teacher. Whether this is true or not, I am not sure. However, it does appear to align with the high achieving girls who develop a fixed mindset. If they fail, then they have failed to please another.",1,0
"I am always very intentional about my grouping, but it does seem that a more random, mixed ability grouping is the way to go. I think it is going to come down to having interesting and challenging activities.",0,0
"As a current Math teacher I want to avoid giving lots of busy work and making sure it is fun and challenging. I hope to learn more about how to structure my classes so that this can happen. I hear a lot about group problem-solving, but I have never seen it done, or at least done well. Kudos for you for going into the Math teaching profession. I sense there are so many untapped areas for us all to explore.",1,0
"It's possible that their asking accuracy upto unit's place ( = whole no. = xx or x format = no place to right of decimal ) coincides with otherwise whole no. answer . But in general , xx , x , x.x , x.xx . x.xxx etc refers to the minimum place values, the answer be correct to . This has been clarified at [course info][1] page in post dated June 18, 2013, in 15th line from the top & **reads :*Many of the homework questions ask you to round your answers to a certain number of decimal places; this represents the minimum number of decimal places that you should enter¡ªit is fine to enter more precise answers if you want.** An email was also sent by Prof. <redacted> about the same time. [1]: https://class.stanford.edu/courses/Medicine/HRP258/Statistics_in_Medicine/info",0,0
"Yes, and keep in mind that the X variables were generated using a random process. So no two students will have the exact training and test data sets (unless the students used the same seed values).",0,0
"I would think it depends on what you do. I've never experienced what I would call AMS but I have tried driving up to 10,000 feet then running immediately. In a few steps I was so weak I had to stop.",0,0
It is always possible that there are typos etc in the videos!,0,0
How long will it take to have the certificates sent out?,1,1
Me Too. This is one of best courses I have taken. I will miss Dr <redacted>'s voice and the weekly email.,0,0
I think it is great to hear these boys saying that they feel okay when they make a mistake. They also feel confident that they will be able to use friendly numbers and decomposing and multiplying to solve harder problems in grade 4. (LOL!) Their confidence in math especially was great.,1,0
Typically I went for the 25% is a quarter so it's 50. But I know from teaching a lot of students percentages the most popular is 10% is 20 double it to find 20% = 40 and half of 10% is 10 so 40 + 10 = 50,0,0
"\predict\"" is what is known as a \""generic function\"" in R, which means that it dispatches different methods depending upon the class of the object that is passed to the function.For example, if you pass a linear model to the predict function, it dispatches the method predict.lm to actually perform the prediction. Or if you pass a logistic regression model to the predict function, it dispatches the method predict.glm.If you run the following line of code in R, it will show you all of the methods for predict: methods(predict)And then once you know the method's name, you can get help on that method.If the line of code above does not work for a particular function, you can also try: showMethods(\""insert_function_name_here\"")The methods() call works for what are called \""S3 functions\"", whereas the showMethods() call works for \""S4 functions\"".-<nameRedac_<anon_screen_name_redacted>>""",1,0
"You are so right - Maslow's hierarchy of needs. If you are focused on basic survival, math, and school in general, will necessarily take a backseat. It is so easy to be frustrated by lack of parent support. Thank you for this reminder. If & when you break through with a student's fixed mindset it can also have a profound impact on a parent's. I had a mom cry during fall conferences because, in grade 6, her daughter was finally beginning to understand math and feel more confident. She said, \I wish I had time to sit in your class and relearn it, too.\"" That was a huge aha moment for me about how deeply math trauma can run for adults and be passed down generationally. (That young lady came back several times last year to share that she was getting A's & B's in 7th grade math. She definitely has shifted to a growth mindset.)""",0,0
